GROSSINCOME_TOTAL,GROSSINCOME_MEN,GROSSINCOME_WOMEN,AVERAGE_GROSSINCOME_TOTAL,AVERAGE_GROSSINCOME_MEN,AVERAGE_GROSSINCOME_WOMEN,AVERAGE_NETINCOME_TOTAL,AVERAGE_NETINCOME_MEN,AVERAGE_NETINCOME_WOMEN,AVERAGE_NETINCOME_FULLTIME_WHOLEYEAR_TOTAL,AVERAGE_NETINCOME_FULLTIME_WHOLEYEAR_MEN,AVERAGE_NETINCOME_FULLTIME_WHOLEYEAR_WOMEN,Postal_Code,ratio
342.108.409,211.605.014,130.503.395,56.64,69.676,43.458,36.561,43.81,29.229,60.871,69.613,50.09,1010,0.6006308422730036
1.752.300.053,1.011.817.060,740.482.994,34.85,38.11,31.203,24.142,25.973,22.094,37.621,39.055,35.519,1020,0.6417160628372451
1.788.351.447,1.027.517.328,760.834.118,39.157,43.902,34.17,26.665,29.359,23.833,40.894,43.499,37.418,1030,0.6520516457181983
650.808.337,386.962.838,263.845.499,42.113,48.97,34.937,28.103,31.9,24.13,46.192,50.322,40.675,1040,0.6083953931416696
874.782.840,497.077.247,377.705.593,31.889,34.274,29.214,22.383,23.773,20.824,36.028,37.171,34.42,1050,0.6212667924947263
597.005.988,335.830.780,261.175.207,37.685,42.216,33.115,25.673,28.272,23.052,42.137,44.938,38.66,1060,0.609274509338586
657.821.229,371.837.263,285.983.966,40.611,46.248,35.056,27.222,30.327,24.162,44.027,47.226,40.094,1070,0.6183024053421764
480.956.658,274.990.301,205.966.356,40.859,46.42,35.226,27.406,30.475,24.296,45.897,49.44,41.491,1080,0.5971196374490707
848.258.258,470.903.158,377.355.100,39.724,45.171,34.528,26.81,29.936,23.829,44.177,47.39,40.36,1090,0.60687688163524
2.853.819.857,1.719.687.637,1.134.132.220,28.891,31.004,26.186,20.811,22.029,19.252,31.489,32.184,30.26,1100,0.6608974562545651
1.549.353.815,917.803.590,631.550.225,30.886,33.885,27.367,22.179,23.964,20.083,31.792,32.787,30.087,1110,0.6976283341721187
1.447.763.021,849.918.843,597.844.178,30.962,33.307,28.146,22.018,23.363,20.403,33.379,34.177,32.077,1120,0.6596362982713683
1.072.414.208,637.449.860,434.964.347,47.131,55.858,38.35,31.457,36.451,26.431,47.727,51.932,41.832,1130,0.6591028139208415
1.629.058.630,937.086.669,691.971.961,37.285,41.294,32.953,25.816,28.114,23.334,38.298,39.972,35.836,1140,0.6740821975037861
1.089.929.763,633.005.712,456.924.051,27.888,29.329,26.111,20.042,20.842,19.055,31.829,32.327,31.033,1150,0.6296773382764146
1.555.744.213,891.873.220,663.870.993,30.799,32.637,28.632,21.877,22.914,20.653,34.016,34.635,33.055,1160,0.6431385230479775
915.989.765,527.342.121,388.647.644,33.268,36.241,29.935,23.266,24.931,21.4,37.208,38.43,35.325,1170,0.6252956353472371
999.742.654,572.716.698,427.025.956,41.642,48.688,34.873,28.004,32.011,24.154,45.059,48.802,40.192,1180,0.62149626045851
1.346.942.000,809.801.635,537.140.366,43.712,52.394,34.975,29.195,34.102,24.257,46.703,51.164,40.436,1190,0.6251204419416311
1.154.657.420,674.661.064,479.996.356,28.828,30.433,26.838,20.671,21.591,19.531,32.306,32.681,31.688,1200,0.6398501826286139
2.737.249.830,1.590.982.167,1.146.267.663,34.056,37.7,30.027,24.061,26.202,21.693,34.462,35.744,32.441,1210,0.6981893099645986
3.617.348.151,2.103.461.664,1.513.886.487,37.719,42.891,32.306,26.272,29.302,23.1,36.763,38.681,33.81,1220,0.7146315589043332
1.999.254.427,1.176.280.098,822.974.329,38.845,44.458,32.906,26.9,30.16,23.451,37.997,40.137,34.674,1230,0.7079506276811327
