POP_TOTAL,POP_MAL,POP_FEM,Postal_Code
16620,7951.0,8669.0,1010
108269,53180.0,55089.0,1020
96756,46384.0,50372.0,1030
33633,16326.0,17307.0,1040
55018,27428.0,27590.0,1050
31423,15148.0,16275.0,1060
31581,15277.0,16304.0,1070
24674,12092.0,12582.0,1080
42206,20056.0,22150.0,1090
218415,110463.0,107952.0,1100
109038,53865.0,55173.0,1110
100281,49586.0,50695.0,1120
55568,25956.0,29612.0,1130
96828,47312.0,49516.0,1140
76109,38663.0,37446.0,1150
102444,51319.0,51125.0,1160
56033,27490.0,28543.0,1170
51559,23935.0,27624.0,1180
75517,35301.0,40216.0,1190
85690,42729.0,42961.0,1200
183895,89780.0,94115.0,1210
212658,102325.0,110333.0,1220
117882,56559.0,61323.0,1230
